run_at,state_date,execution_price_source,execution_price_usd,snapshot_price_usd,model_price_usd,deviation_pct,expected_7d_return_pct,expected_30d_return_pct,historical_drawdown_risk_pct,memory_confidence_pct,decision_edge_pct,structural_regime,market_regime_code,action,confidence,executed_usdt,executed_btc,cash_usdt,btc_amount,cost_basis_usdt,avg_entry_price_usd,unrealized_pnl_usdt,unrealized_pnl_pct,realized_pnl_usdt,total_pnl_usdt,total_pnl_pct,btc_exposure_pct,portfolio_value_usdt,reason
2026-06-24T17:27:36.795799+00:00,2026-06-24,kraken,59604.2,62600.0,68992.1421696913,-13.6073,8.0966,23.1333,25.8979,70.2763,18.5594,bear_late,range_bias_up_dev_extreme,ACCUMULATE_SMALL,memory_moderate,100.0,0.001677734119,900.0,0.001677734119,,,,,,,10.0,1000.0,"Memory edge: 18.56%. | Expected 7d/30d: 8.10% / 23.13%. | Historical drawdown risk to weighted p10: 25.90%. | Memory confidence: 70.3%. | Weighted memory p50: 73392.61 USD vs execution price 59604.20 USD. | Live source: kraken. | Structural regime: bear_late; market regime: range_bias_up_dev_extreme. | Flow: neutru/slab; liquidity: ridicată/puternică."
2026-06-24T18:54:04.789547+00:00,2026-06-24,kraken,59451.2,62600.0,68992.1421696913,-13.829,8.2076,23.4502,25.7072,70.2763,18.8388,bear_late,range_bias_up_dev_extreme,ACCUMULATE_SMALL,memory_moderate,99.97433067,0.001681620063,800.02566933,0.003359354182,199.71763732,59451.2,0.0,0.0,0.0,0.0,0.0,19.9769,999.74330666,"Memory edge: 18.84%. | Expected 7d/30d: 8.21% / 23.45%. | Historical drawdown risk to weighted p10: 25.71%. | Memory confidence: 70.3%. | Weighted memory p50: 73392.61 USD vs execution price 59451.20 USD. | PnL: unrealized 0.00 USDT (0.00%), realized 0.00 USDT. | Live source: kraken. | Structural regime: bear_late; market regime: range_bias_up_dev_extreme. | Flow: neutru/slab; liquidity: ridicată/puternică."
2026-06-24T19:52:47.358052+00:00,2026-06-24,kraken,59825.3,62600.0,68992.1421696913,-13.2868,7.9374,22.6782,26.1717,70.2763,18.1582,bear_late,range_bias_up_dev_extreme,ACCUMULATE_SMALL,memory_moderate,100.10000411,0.001673205218,699.92566522,0.0050325594,299.81764143,59575.57926655,1.25673442,0.4192,0.0,1.25673442,0.1257,30.0774,1001.00004107,"Memory edge: 18.16%. | Expected 7d/30d: 7.94% / 22.68%. | Historical drawdown risk to weighted p10: 26.17%. | Memory confidence: 70.3%. | Weighted memory p50: 73392.61 USD vs execution price 59825.30 USD. | PnL: unrealized 1.26 USDT (0.63%), realized 0.00 USDT. | Live source: kraken. | Structural regime: bear_late; market regime: range_bias_up_dev_extreme. | Flow: neutru/slab; liquidity: ridicată/puternică."
2026-06-25T04:21:38.080825+00:00,2026-06-24,coinbase,60754.795,62600.0,68992.1421696913,-11.9395,0.0,0.0,0.0,0.0,0.0,bear_late,range_bias_up_dev_extreme,OBSERVE_STALE_DATA,none,0.0,0.0,699.92566522,0.0050325594,299.81764143,59575.57926291,5.93447324,1.9794,0.0,5.93447324,0.5934,30.4026,1005.67777989,"State date 2026-06-24 is not UTC today 2026-06-25. | No paper execution is allowed on stale data."
2026-06-25T05:48:17.778639+00:00,2026-06-25,coinbase,61473.435,60839.0,68992.1421696913,-10.8979,6.7862,19.3891,28.1511,69.6083,14.9409,bear_late,range_bias_up_dev_extreme,OBSERVE_ACCUMULATE_SMALL,memory_moderate_low,50.46471892,0.000820919132,649.4609463,0.005853478532,350.28236035,59841.74340382,9.55107173,2.7267,0.0,9.55107173,0.9551,35.652,1009.29437838,"Memory edge: 14.94%. | Expected 7d/30d: 6.79% / 19.39%. | Historical drawdown risk to weighted p10: 28.15%. | Memory confidence: 69.6%. | Weighted memory p50: 73392.61 USD vs execution price 61473.43 USD. | PnL: unrealized 9.55 USDT (3.19%), realized 0.00 USDT. | Live source: coinbase. | Structural regime: bear_late; market regime: range_bias_up_dev_extreme. | Flow: neutru/slab; liquidity: ridicată/puternică."
2026-06-25T08:16:31.141490+00:00,2026-06-25,coinbase,61679.995,60839.0,68992.1421696913,-10.5985,6.6463,18.9893,28.3917,69.6083,14.5894,bear_late,range_bias_up_dev_extreme,OBSERVE_ACCUMULATE_SMALL,memory_moderate_low,43.15886257,0.000699722212,606.30208373,0.006553200744,393.44122292,60038.02389979,10.76016624,2.7349,0.0,10.76016624,1.076,40.0,1010.50347289,"Memory edge: 14.59%. | Expected 7d/30d: 6.65% / 18.99%. | Historical drawdown risk to weighted p10: 28.39%. | Memory confidence: 69.6%. | Weighted memory p50: 73392.61 USD vs execution price 61680.00 USD. | PnL: unrealized 10.76 USDT (3.07%), realized 0.00 USDT. | Live source: coinbase. | Structural regime: bear_late; market regime: range_bias_up_dev_extreme. | Flow: neutru/slab; liquidity: ridicată/puternică."
2026-06-25T10:18:50.123554+00:00,2026-06-25,kraken,61627.5,60839.0,68992.1421696913,-10.6746,6.6817,19.0907,28.3307,69.6083,14.6785,bear_late,range_bias_up_dev_extreme,OBSERVE_ACCUMULATE_SMALL,memory_moderate_low,0.0,0.0,606.30208373,0.006553200744,393.44122292,60038.02390461,10.41615593,2.6474,0.0,10.41615593,1.0416,39.9796,1010.15946258,"Memory edge: 14.68%. | Expected 7d/30d: 6.68% / 19.09%. | Historical drawdown risk to weighted p10: 28.33%. | Memory confidence: 69.6%. | Weighted memory p50: 73392.61 USD vs execution price 61627.50 USD. | PnL: unrealized 10.42 USDT (2.65%), realized 0.00 USDT. | Live source: kraken. | Structural regime: bear_late; market regime: range_bias_up_dev_extreme. | Flow: neutru/slab; liquidity: ridicată/puternică."
2026-06-25T14:54:33.876051+00:00,2026-06-25,kraken,59562.0,60839.0,68992.1421696913,,,,,,,bear_late,range_bias_up_dev_extreme,MANUAL_BUY,manual_buy,8.32778786,0.000139817129,597.97429587,0.006693017873,401.76901078,60028.07976624,-3.11948021,-0.7764,0.0,-3.11948021,-0.3119,40.0,996.62382644,"Manual paper action from GitHub workflow. | Manual paper mode: no real funds, no exchange order. | Manual buy executed: 8.33 USDT at 59562.00 USD. | Hard exposure cap respected: 40.0%."
2026-06-25T15:15:32.033183+00:00,2026-06-25,coinbase,58892.765,60839.0,68992.1421696913,,,,,,,bear_late,range_bias_up_dev_extreme,MANUAL_BUY_OVERRIDE,manual_override,100.0,0.001698001444,497.97429587,0.008391019317,501.76901078,59798.33817981,-7.59868204,-1.5144,0.0,-7.59868204,-0.7599,49.8083,992.14462461,"Extra manual paper entry from GitHub workflow. | Manual paper mode: no real funds, no exchange order. | Manual override buy executed: 100.00 USDT at 58892.76 USD. | Operator override: bot exposure corridor was intentionally ignored for this paper trade."
2026-06-25T16:05:56.669614+00:00,2026-06-25,coinbase,59409.505,60839.0,68992.1421696913,-13.8895,8.2379,23.5368,25.655,69.6083,18.5866,bear_late,range_bias_up_dev_extreme,HOLD_CASH_CORRIDOR,cash_corridor,0.0,0.0,497.97429587,0.008391019317,501.76901078,59798.33817847,-3.26270671,-0.6502,0.0,-3.26270671,-0.3263,50.0267,996.48059994,"Memory edge: 18.59%. | Expected 7d/30d: 8.24% / 23.54%. | Historical drawdown risk to weighted p10: 25.66%. | Memory confidence: 69.6%. | Weighted memory p50: 73392.61 USD vs execution price 59409.50 USD. | PnL: unrealized -3.26 USDT (-0.65%), realized 0.00 USDT. | Live source: coinbase. | Structural regime: bear_late; market regime: range_bias_up_dev_extreme. | Flow: neutru/slab; liquidity: ridicată/puternică. | Cash corridor: profile bear_late_cash_corridor_strong_override, max exposure 40.0%, min cash reserve 10.0%, current exposure 50.0%. | No new buy: remaining cash corridor is below useful minimum entry size."
